,%,exemple top-4
code,102.35868644419712,"[79200370213, 70177118525, 43438403883, '2725087003956']"
url,102.35868644419712,"['http://world-en.openfoodfacts.org/product/3585802000290/kusmi-tea', 'http://world-en.openfoodfacts.org/product/0292471016608', 'http://world-en.openfoodfacts.org/product/8002490205997', 'http://world-en.openfoodfacts.org/product/8901262260152']"
creator,102.35829560965793,"['kiliweb', 'usda-ndb-import', 'openfoodfacts-contributors', 'elcoco']"
created_t,102.35868644419712,"[1489077120, 1552319300, 1489055829, 1489050353]"
created_datetime,102.35858873556232,"['2019-03-11T15:48:20Z', '2017-03-09T10:37:09Z', '2017-03-09T16:32:00Z', '2019-01-29T13:06:22Z']"
last_modified_t,102.35868644419712,"[1549996693, 1552770887, 1549996691, 1549996692]"
last_modified_datetime,102.35868644419712,"['2019-02-12T18:38:13Z', '2019-03-16T21:14:47Z', '2019-02-12T18:38:11Z', '2019-02-12T18:38:12Z']"
product_name,97.2609338405063,"['Comté', 'Filet de poulet', 'Emmental', 'Miel']"
generic_name,9.075471126609871,"['Pâtes alimentaires au blé dur de qualité supérieure', 'Beignets fourrés à la purée de framboise', 'Pâtes alimentaires de qualité supérieure', 'Bière']"
quantity,31.78823412161403,"['500 g', '250 g', '200 g', '100 g']"
packaging,18.25724924788778,"['sachet,plastique', 'Sachet,Plastique', 'Plastique', 'Kunststoff']"
packaging_tags,18.256565287444147,"['sachet,plastique', 'plastique', 'carton', 'bouteille,verre']"
brands,59.379686961075805,"['Carrefour', 'Auchan', 'U', 'Delhaize']"
brands_tags,59.374703820700745,"['carrefour', 'auchan', 'u', 'leader-price']"
categories,37.87460269226373,"['Boissons', 'Viandes, Volailles, Poulets, Filets de poulet', 'Boissons, Boissons avec sucre ajouté', 'Matières grasses']"
categories_tags,37.874211857724504,"['en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:olive-tree-products,en:vegetable-fats,en:vegetable-oils,en:olive-oils,en:extra-virgin-olive-oils', 'en:beverages,en:non-alcoholic-beverages,en:unsweetened-beverages', 'en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits', 'en:beverages,en:non-alcoholic-beverages']"
