,%,exemple top-4
code,101.11143572090897,"[70177118525, 79200370213, 3480580000121, '2350032002694']"
url,101.11143572090897,"['http://world-en.openfoodfacts.org/product/7501064191329', 'http://world-en.openfoodfacts.org/product/3383482295223', 'http://world-en.openfoodfacts.org/product/6194013218058', 'http://world-en.openfoodfacts.org/product/0214907029068/tomme-de-chevre-boucherie-andre']"
creator,101.11104488636975,"['kiliweb', 'usda-ndb-import', 'openfoodfacts-contributors', 'elcoco']"
created_t,101.11143572090897,"[1489055829, 1489077120, 1552319300, 1489050353]"
created_datetime,101.11133801227416,"['2017-03-09T10:37:09Z', '2017-03-09T16:32:00Z', '2019-03-11T15:48:20Z', '2019-01-29T13:06:22Z']"
last_modified_t,101.11143572090897,"[1549996693, 1552770887, 1549996691, 1549996692]"
last_modified_datetime,101.11143572090897,"['2019-02-12T18:38:13Z', '2019-03-16T21:14:47Z', '2019-02-12T18:38:11Z', '2019-02-12T18:38:12Z']"
product_name,96.07983186298122,"['Comté', 'Filet de poulet', 'Emmental', 'Miel']"
generic_name,9.047428748420785,"['Pâtes alimentaires au blé dur de qualité supérieure', 'Pâtes alimentaires de qualité supérieure', 'Beignets fourrés à la purée de framboise', 'Beignets fourrés à la purée de pomme']"
quantity,31.47986567016887,"['500 g', '250 g', '200 g', '100 g']"
packaging,18.1199686159865,"['sachet,plastique', 'Sachet,Plastique', 'Plastique', 'Kunststoff']"
packaging_tags,18.119284655542863,"['sachet,plastique', 'plastique', 'carton', 'bouteille,verre']"
brands,59.009762069703385,"['Carrefour', 'Auchan', 'U', 'Delhaize']"
brands_tags,59.00477892932832,"['carrefour', 'auchan', 'u', 'leader-price']"
categories,37.276723555890804,"['Boissons', 'Viandes, Volailles, Poulets, Filets de poulet', 'Boissons, Boissons avec sucre ajouté', 'Matières grasses']"
categories_tags,37.27633272135159,"['en:beverages,en:non-alcoholic-beverages,en:unsweetened-beverages', 'en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:olive-tree-products,en:vegetable-fats,en:vegetable-oils,en:olive-oils,en:extra-virgin-olive-oils', 'en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits', 'en:beverages,en:non-alcoholic-beverages']"
categories_en,37.27633272135159,"['Beverages,Non-Alcoholic beverages,Unsweetened beverages', 'Plant-based foods and beverages,Plant-based foods,Fats,Olive tree products,Vegetable fats,Vegetable oils,Olive oils,Extra-virgin olive oils', 'Snacks,Sweet snacks,Biscuits and cakes,Biscuits', 'Beverages,Non-Alcoholic beverages']"
origins,5.346030244730818,"['France', 'México', 'Union Européenne', 'Italie']"
origins_tags,5.3362593812503,"['france', 'mexico', 'union-europeenne', 'italie']"
manufacturing_places,8.437336032697218,"['France', 'Italie', 'Deutschland', 'Belgique']"
manufacturing_places_tags,8.433916230479035,"['france', 'italie', 'belgique', 'deutschland']"
labels,19.843646642584744,"['en:gluten-free', 'Bio  ', 'en:organic', 'Point Vert']"
labels_tags,19.845991649820068,"['en:organic', 'en:gluten-free', 'en:organic,en:eu-organic,fr:ab-agriculture-biologique', 'en:green-dot']"
labels_en,19.845991649820068,"['Organic', 'Gluten-free', 'Organic,EU Organic,fr:ab-agriculture-biologique', 'Green Dot']"
emb_codes,6.461862854206014,"['FR 72.264.002 EC', 'EMB 56251E', 'EMB 72264', 'FR 22.046.001 EC']"
emb_codes_tags,6.459029303796665,"['fr-72-264-002-ec', 'emb-56251e', 'emb-72264', 'fr-22-046-001-ec']"
first_packaging_code_geo,4.13991485669563,"['47.833333,-0.333333', '47.633333,-2.666667', '49.083333,-0.65', '48.1,-4.333333']"
cities_tags,4.44261620732209,"['sable-sur-sarthe-sarthe-france', 'theix-morbihan-france', 'douarnenez-finistere-france', 'saint-evarzec-finistere-france']"
purchase_places,12.065746186187711,"['France', 'Deutschland', 'Lyon,France', 'España']"
stores,17.692688755983433,"['Carrefour', 'Magasins U', 'Auchan', 'Leclerc']"
countries,100.93731893368614,"['France', 'United States', 'en:france', 'en:fr']"
countries_tags,100.93722122505133,"['en:france', 'en:united-states', 'en:spain', 'en:switzerland']"
countries_en,100.93722122505133,"['France', 'United States', 'Spain', 'Switzerland']"
ingredients_text,43.90850172602303,"['Carbonated water, natural flavor.', 'Almonds.', 'Contient des sulfites.', 'Miel']"
allergens,8.16238393435543,"['en:milk', 'en:gluten', 'en:gluten,en:milk', 'blé']"
traces,6.241529882720326,"['en:nuts', 'Fruits à coque', 'en:milk', 'en:gluten']"
traces_tags,8.034678748665055,"['en:nuts', 'en:milk', 'en:gluten', 'en:soybeans']"
traces_en,8.034678748665055,"['Nuts', 'Milk', 'Gluten', 'Soybeans']"
serving_size,27.285722521156362,"['100g', '240 ml (8 fl oz)', '28 g (1 oz)', '30 g']"
serving_quantity,27.297838391872205,"[28.0, 30.0, 100.0, 15.0]"
additives_n,43.89677668984641,"[0.0, 1.0, 2.0, 3.0]"
additives_tags,23.891422256659087,"['en:e330', 'en:e322,en:e322i', 'en:e440,en:e440i', 'en:e415']"
additives_en,23.891422256659087,"['E330 - Citric acid', 'E322 - Lecithins,E322i - Lecithin', 'E440 - Pectins,E440i - Pectin', 'E415 - Xanthan gum']"
ingredients_from_palm_oil_n,43.89677668984641,"[0.0, 1.0, 2.0, 3.0]"
ingredients_that_may_be_from_palm_oil_n,43.89677668984641,"[0.0, 1.0, 2.0, 3.0]"
nutrition_grade_fr,28.657649462455947,"['d', 'c', 'e', 'a']"
nova_group,31.579528477670156,"[4.0, 3.0, 1.0, 2.0]"
pnns_groups_1,100.0640968644322,"['unknown', 'Sugary snacks', 'Milk and dairy products', 'Fish Meat Eggs']"
pnns_groups_2,101.07284081016093,"['unknown', 'Biscuits and cakes', 'Sweets', 'One-dish meals']"
